##OS
1:AppName=爱死祖玛 - 免费 可爱 祖玛 射击  春天 夏天 秋天 冬天|:0.001000:0.001000:1.000000
1:AppName=47947|:0.001000:0.001000:1.000000
1:AppName=67061|:0.001000:0.001000:1.000000
1:AppName=23595|:0.001000:0.001000:1.000000
1:AppName=29681|:0.001000:0.001000:1.000000
1:AppName=26576|:0.001000:0.001000:1.000000
1:AppName=56670|:0.001000:0.001000:1.000000
1:AppName=新华字典有声版和汉语成语词典-历代诗词(8合1)|:0.000900:0.000900:1.000000
1:AppName=59017|:0.000900:0.000900:1.000000
1:AppName=14884|:0.000900:0.000900:1.000000
1:AppName=55229|:0.000900:0.000900:1.000000
1:AppName=7902|:0.000900:0.000900:1.000000
1:AppName=52646|:0.000900:0.000900:1.000000
1:AppName=27218|:0.000900:0.000900:1.000000
1:AppName=64441|:0.000900:0.000900:1.000000
1:AppName=9564|:0.000900:0.000900:1.000000
1:AppName=10073|:0.000900:0.000900:1.000000
1:AppName=心动小狗 - QQ微信微博用户最爱的天天要玩的比酷跑好玩的带音乐支持的住爱情公寓看爸爸去哪儿时玩的美女很多的HD宠物养成游戏|:0.000900:0.000900:1.000000
1:AppName=39157|:0.000800:0.000800:1.000000
1:AppName=25580|:0.000800:0.000800:1.000000
1:AppName=39146|:0.000800:0.000800:1.000000
1:AppName=abc黑道小说合集珍藏版|:0.000800:0.000800:1.000000
1:AppName=32694|:0.000800:0.000800:1.000000
1:AppName=4704|:0.000800:0.000800:1.000000
1:AppName=遮神辰东全集－含完美世界小说、遮天、神墓、长生界等辰东作品全集|:0.000800:0.000800:1.000000
1:AppName=捕鱼达人|:0.000700:0.000700:1.000000
1:AppName=27423|:0.000700:0.000700:1.000000
1:AppName=7571|:0.000700:0.000700:1.000000
1:AppName=Manga Rock ~ 最佳漫画阅读器|:0.000700:0.000700:1.000000
1:AppName=4780|:0.000700:0.000700:1.000000
1:AppName=主驾驶|:0.000700:0.000700:1.000000
1:AppName=5655|:0.000600:0.000600:1.000000
1:AppName=绝世唐门,斗罗大陆等唐家三少作品系列全集|:0.000600:0.000600:1.000000
1:AppName=54474|:0.000600:0.000600:1.000000
1:AppName=41024|:0.000600:0.000600:1.000000
1:AppName=4680|:0.000600:0.000600:1.000000
1:AppName=10979|:0.000600:0.000600:1.000000
1:AppName=67895|:0.000600:0.000600:1.000000
1:AppName=1756|:0.000600:0.000600:1.000000
1:AppName=11644|:0.000600:0.000600:1.000000
1:AppName=1962|:0.000600:0.000600:1.000000
1:AppName=Kamus Inggris (Kamusku)|:0.000600:0.000600:1.000000
1:AppName=3898|:0.000600:0.000600:1.000000
1:AppName=漫画HH(专业版)|:0.000600:0.000600:1.000000
