##adx
1:Categorys=14|:0.000103387878332745:0.000103387878332745:1
1:Categorys=17|:0.00160786308551599:0.00160786308551599:1
1:Categorys=16|:0.00355133358881115:0.00355133358881115:1
1:Categorys=19|:0.00365970194252190:0.00365970194252190:1
1:Categorys=18|:0.0181331836238987:0.0181331836238987:1
1:Categorys=48|:0.000106060496396020:0.000106060496396020:1
1:Categorys=49|:0.0145825015574309:0.0145825015574309:1
1:Categorys=46|:0.00126053973602081:0.00126053973602081:1
1:Categorys=47|:0.00358298977478123:0.00358298977478123:1
1:Categorys=44|:0.000773710311808155:0.000773710311808155:1
1:Categorys=45|:0.0158363081312065:0.0158363081312065:1
1:Categorys=42|:0.00269131721334763:0.00269131721334763:1
1:Categorys=43|:0.0191287212349588:0.0191287212349588:1
1:Categorys=40|:0.000994789736820876:0.000994789736820876:1
1:Categorys=41|:0.136739908139708:0.136739908139708:1
1:Categorys=1|:0.00294758113899251:0.00294758113899251:1
1:Categorys=5|:0.00357039520553884:0.00357039520553884:1
1:Categorys=9|:0.00155091911507253:0.00155091911507253:1
1:Categorys=77|:0.0000319658884924327:0.0000319658884924327:1
1:Categorys=76|:0.00116099216896525:0.00116099216896525:1
1:Categorys=75|:0.00209795470963077:0.00209795470963077:1
1:Categorys=74|:0.0123616247696315:0.0123616247696315:1
1:Categorys=73|:0.00849150405114414:0.00849150405114414:1
1:Categorys=72|:0.00398214815014741:0.00398214815014741:1
1:Categorys=71|:0.00466386993053820:0.00466386993053820:1
1:Categorys=70|:0.00371891477070319:0.00371891477070319:1
1:Categorys=78|:0.0000486210019167948:0.0000486210019167948:1
##Citys
1:Citys=397|:0.154133542787061:0.154133542787061:1
1:Citys=0|:0.104710631570274:0.104710631570274:1
1:Citys=5|:0.0930611987210479:0.0930611987210479:1
1:Citys=30|:0.0738629985928150:0.0738629985928150:1
1:Citys=15|:0.0670776250904833:0.0670776250904833:1
1:Citys=24|:0.0516137537421958:0.0516137537421958:1
1:Citys=2|:0.0383925576510959:0.0383925576510959:1
1:Citys=21|:0.0362160577936106:0.0362160577936106:1
1:Citys=25|:0.0350487637518387:0.0350487637518387:1
1:Citys=3|:0.0344443230741926:0.0344443230741926:1
1:Citys=1127|:0.0332931197990265:0.0332931197990265:1
1:Citys=78|:0.0330427769267904:0.0330427769267904:1
1:Citys=10|:0.0308913262681317:0.0308913262681317:1
1:Citys=12|:0.0262148067101250:0.0262148067101250:1
1:Citys=17|:0.0244719018543989:0.0244719018543989:1
1:Citys=13|:0.0241501002868384:0.0241501002868384:1
1:Citys=323|:0.0211637122747486:0.0211637122747486:1
1:Citys=89|:0.0205558511048001:0.0205558511048001:1
1:Citys=395|:0.0205500080505450:0.0205500080505450:1
1:Citys=216|:0.0194263522412191:0.0194263522412191:1
1:Citys=385|:0.0190188204272856:0.0190188204272856:1
1:Citys=1118|:0.0170509981293624:0.0170509981293624:1
1:Citys=1|:0.0167743649541176:0.0167743649541176:1
1:Citys=214|:0.0164079960465441:0.0164079960465441:1
1:Citys=31|:0.0161756342733466:0.0161756342733466:1
1:Citys=16|:0.0161006013815050:0.0161006013815050:1
1:Citys=11|:0.0153949912132233:0.0153949912132233:1
1:Citys=22|:0.0148288687669170:0.0148288687669170:1
1:Citys=23|:0.0143894330049955:0.0143894330049955:1
1:Citys=29|:0.0138519201894765:0.0138519201894765:1
1:Citys=181|:0.0130718758875630:0.0130718758875630:1
1:Citys=26|:0.0122923294037780:0.0122923294037780:1
1:Citys=154|:0.0119712986513843:0.0119712986513843:1
1:Citys=596|:0.0119512620452344:0.0119512620452344:1
1:Citys=14|:0.0116391553136700:0.0116391553136700:1
1:Citys=1634|:0.0115829890406715:0.0115829890406715:1
1:Citys=199|:0.0108956031452608:0.0108956031452608:1
1:Citys=693|:0.0102371411713452:0.0102371411713452:1
1:Citys=825|:0.0102371411713452:0.0102371411713452:1
1:Citys=390|:0.00986890487226646:0.00986890487226646:1
1:Citys=50|:0.00974392728698652:0.00974392728698652:1
1:Citys=1343|:0.00965875221106094:0.00965875221106094:1
1:Citys=18|:0.00934155488766613:0.00934155488766613:1
1:Citys=289|:0.00924984852965803:0.00924984852965803:1
1:Citys=317|:0.00922999774502152:0.00922999774502152:1
1:Citys=133|:0.00833380811494708:0.00833380811494708:1
1:Citys=248|:0.00792116735644109:0.00792116735644109:1
1:Citys=374|:0.00784412942752877:0.00784412942752877:1
1:Citys=55|:0.00772452690158123:0.00772452690158123:1
1:Citys=28|:0.00753763863503637:0.00753763863503637:1
1:Citys=503|:0.00741693953275043:0.00741693953275043:1
1:Citys=76|:0.00730351729269342:0.00730351729269342:1
1:Citys=240|:0.00694817150082290:0.00694817150082290:1
1:Citys=159|:0.00671381157283309:0.00671381157283309:1
1:Citys=219|:0.00638492584683538:0.00638492584683538:1
1:Citys=57|:0.00633347393445499:0.00633347393445499:1
1:Citys=398|:0.00605224569141564:0.00605224569141564:1
1:Citys=284|:0.00570835659877945:0.00570835659877945:1
1:Citys=107|:0.00567707893811447:0.00567707893811447:1
1:Citys=4|:0.00560865762160186:0.00560865762160186:1
1:Citys=210|:0.00537877117449050:0.00537877117449050:1
1:Citys=39|:0.00535424961699835:0.00535424961699835:1
1:Citys=304|:0.00533257502861909:0.00533257502861909:1
1:Citys=77|:0.00530190989072055:0.00530190989072055:1
1:Citys=114|:0.00516455108682472:0.00516455108682472:1
1:Citys=659|:0.00475311472701678:0.00475311472701678:1
1:Citys=230|:0.00441737425185764:0.00441737425185764:1
1:Citys=393|:0.00432389456014746:0.00432389456014746:1
1:Citys=387|:0.00425116493743499:0.00425116493743499:1
1:Citys=365|:0.00422395470323025:0.00422395470323025:1
1:Citys=388|:0.00414698100891515:0.00414698100891515:1
1:Citys=215|:0.00368315674688149:0.00368315674688149:1
1:Citys=211|:0.00338846676753716:0.00338846676753716:1
1:Citys=122|:0.00332536315803800:0.00332536315803800:1
1:Citys=257|:0.00327484264731743:0.00327484264731743:1
1:Citys=66|:0.00327172038707355:0.00327172038707355:1
1:Citys=392|:0.00320570557386426:0.00320570557386426:1
1:Citys=86|:0.00317967679742999:0.00317967679742999:1
1:Citys=126|:0.00316310885953044:0.00316310885953044:1
1:Citys=54|:0.00313380411863749:0.00313380411863749:1
1:Citys=148|:0.00309052147056898:0.00309052147056898:1
1:Citys=1266|:0.00298572043109719:0.00298572043109719:1
1:Citys=1153|:0.00295635833788529:0.00295635833788529:1
1:Citys=293|:0.00290425949134710:0.00290425949134710:1
1:Citys=134|:0.00288606274758924:0.00288606274758924:1
1:Citys=80|:0.00287960946466049:0.00287960946466049:1
1:Citys=1682|:0.00276172750828159:0.00276172750828159:1
1:Citys=689|:0.00270928684192243:0.00270928684192243:1
1:Citys=826|:0.00270928684192243:0.00270928684192243:1
1:Citys=221|:0.00268229913471524:0.00268229913471524:1
1:Citys=95|:0.00259516031538866:0.00259516031538866:1
1:Citys=1120|:0.00255943670295833:0.00255943670295833:1
1:Citys=288|:0.00255773219203901:0.00255773219203901:1
1:Citys=1513|:0.00247486956161367:0.00247486956161367:1
1:Citys=295|:0.00243879495299134:0.00243879495299134:1
1:Citys=162|:0.00243439258898840:0.00243439258898840:1
1:Citys=183|:0.00242109602736201:0.00242109602736201:1
1:Citys=19|:0.00223360441442175:0.00223360441442175:1
1:Citys=223|:0.00222424222187564:0.00222424222187564:1
1:Citys=212|:0.00218123486493810:0.00218123486493810:1
1:Citys=131|:0.00217143450067517:0.00217143450067517:1
1:Citys=386|:0.00211894107018257:0.00211894107018257:1
1:Citys=222|:0.00211351783490224:0.00211351783490224:1
1:Citys=129|:0.00210399046767753:0.00210399046767753:1
1:Citys=96|:0.00199102475207940:0.00199102475207940:1
1:Citys=142|:0.00198338542319467:0.00198338542319467:1
1:Citys=184|:0.00184429228517367:0.00184429228517367:1
1:Citys=6|:0.00183915581148811:0.00183915581148811:1
1:Citys=121|:0.00182428779632237:0.00182428779632237:1
1:Citys=217|:0.00181711187417479:0.00181711187417479:1
1:Citys=106|:0.00180420530831729:0.00180420530831729:1
1:Citys=81|:0.00179118174372912:0.00179118174372912:1
1:Citys=151|:0.00166599539600818:0.00166599539600818:1
1:Citys=269|:0.00165836524349449:0.00165836524349449:1
1:Citys=20|:0.00165741548909260:0.00165741548909260:1
1:Citys=285|:0.00164900075685561:0.00164900075685561:1
1:Citys=203|:0.00162734222712567:0.00162734222712567:1
1:Citys=82|:0.00161808326875367:0.00161808326875367:1
1:Citys=102|:0.00160129280385657:0.00160129280385657:1
1:Citys=127|:0.00158182513271069:0.00158182513271069:1
1:Citys=379|:0.00158106808210049:0.00158106808210049:1
1:Citys=403|:0.00156103377004333:0.00156103377004333:1
1:Citys=220|:0.00155723475243579:0.00155723475243579:1
1:Citys=209|:0.00152631038205557:0.00152631038205557:1
1:Citys=224|:0.00147404636083879:0.00147404636083879:1
1:Citys=278|:0.00146051580175106:0.00146051580175106:1
1:Citys=308|:0.00146004321864288:0.00146004321864288:1
1:Citys=9|:0.00145676266599869:0.00145676266599869:1
1:Citys=59|:0.00141389754281216:0.00141389754281216:1
